cage,molecule_diameter_A,pore_diameter_A,nb_windows,window1,window2,window3,window4
all_cages/flexible_cages/CC2_xyz/cc2_100.xyz,19.420880,4.056908,4,3.079827,3.251919,2.989986,3.398907
all_cages/flexible_cages/CC2_xyz/cc2_101.xyz,19.785059,4.266834,4,3.350603,3.234792,3.556983,3.389701
all_cages/flexible_cages/CC2_xyz/cc2_102.xyz,19.525153,4.551190,4,3.401674,3.275359,3.661236,3.513601
all_cages/flexible_cages/CC2_xyz/cc2_103.xyz,19.006052,4.056294,4,3.101057,3.099639,3.286225,3.438397
all_cages/flexible_cages/CC2_xyz/cc2_104.xyz,19.848164,4.205516,4,3.461240,3.173055,3.783438,3.195719
all_cages/flexible_cages/CC2_xyz/cc2_105.xyz,18.938747,3.825801,4,3.495382,2.987865,3.363651,3.523558
all_cages/flexible_cages/CC2_xyz/cc2_106.xyz,19.019884,4.631043,4,3.522024,3.570720,3.868786,4.057641
all_cages/flexible_cages/CC2_xyz/cc2_107.xyz,20.397478,3.992222,4,3.256368,3.337290,3.180038,2.948253
all_cages/flexible_cages/CC2_xyz/cc2_108.xyz,19.030676,3.960720,4,2.838636,2.890343,3.075030,2.702491
all_cages/flexible_cages/CC2_xyz/cc2_109.xyz,18.677699,3.492222,4,3.207737,3.825605,3.577605,6.005411
all_cages/flexible_cages/CC2_xyz/cc2_10.xyz,19.530540,4.735524,4,3.712368,4.353885,3.662748,3.836518
all_cages/flexible_cages/CC2_xyz/cc2_110.xyz,19.203571,4.268045,4,3.087364,3.377397,2.936175,3.424081
all_cages/flexible_cages/CC2_xyz/cc2_111.xyz,19.666442,3.685932,4,3.167240,2.782242,3.138367,2.865724
all_cages/flexible_cages/CC2_xyz/cc2_112.xyz,19.350504,3.856238,4,3.046514,3.086829,3.240933,3.198077
all_cages/flexible_cages/CC2_xyz/cc2_113.xyz,19.520295,3.949273,4,3.256678,2.986282,3.306599,2.969704
all_cages/flexible_cages/CC2_xyz/cc2_114.xyz,19.111471,4.001808,4,3.022804,3.137765,3.010992,2.910403
all_cages/flexible_cages/CC2_xyz/cc2_115.xyz,19.209218,4.121472,4,3.222486,3.450317,3.359360,3.518650
all_cages/flexible_cages/CC2_xyz/cc2_116.xyz,19.081778,4.088933,4,3.050209,3.049722,3.610491,3.062859
