cage,KH_mol/(m³-bar),KH_mmol/(g-bar),KH_mmol/(kg-Pa),err_KH_mmol/(g-bar),Qst_kJ/mol,elapsed time (min)
A11_aligned.cif,40.288958791220075,1.8659361779009584,1.8659361779009584e-5,4.8984938989883404e-5,2.5458291929550483,24.87675223368333
B11_aligned.cif,40.24483771835647,1.6887167525064695,1.6887167525064695e-5,0.00011363320842949425,2.5508704997855505,51.15470387318333
B13_aligned.cif,40.16854400134516,1.4579804632227218,1.4579804632227218e-5,4.913750617074309e-5,2.558263712362947,67.28648396193333
B15_aligned.cif,40.27397593763049,1.9003736246683656,1.9003736246683656e-5,8.768759745797952e-5,2.5431359268455296,106.21069845724999
B18_aligned.cif,40.27293883525078,1.785200744755851,1.785200744755851e-5,2.491131380703898e-5,2.5478182687288027,104.80749367898333
B1_aligned.cif,40.233189675915064,2.5643088676228456,2.5643088676228458e-5,0.00010750382252942759,2.5213379915728766,12.2629434745
B23_aligned.cif,40.24126422129997,1.506513952929995,1.506513952929995e-5,3.436544645663521e-5,2.5588329370288734,40.32356940608334
B24_aligned.cif,40.26584221496599,1.4889894078428523,1.4889894078428524e-5,7.056835246025534e-5,2.5621726626176486,56.914685798250005
B25_aligned.cif,40.271310992020055,1.7282249748140301,1.72822497481403e-5,2.2946867122072977e-5,2.549524154570504,67.70689712596666
B26_aligned.cif,40.284739298185514,1.8106162496417093,1.810616249641709e-5,4.912764929925745e-5,2.5465476673268297,153.07731540380001
B2_aligned.cif,40.238008213182795,2.1381900380139442,2.138190038013944e-5,9.601445186386404e-5,2.5196574964393137,18.339875163533335
B4_aligned.cif,40.264887818076105,3.5378483099825044,3.537848309982504e-5,8.749036154423557e-5,2.511281868906587,32.015721671516665
B5_aligned.cif,40.28439074908459,3.3659557134189675,3.365955713418968e-5,0.00011012684217863528,2.5124810238834003,22.706608050233335
B6_aligned.cif,40.29898049524746,4.05928748108909,4.0592874810890896e-5,8.204187817766622e-5,2.506943431465646,36.991483318533334
B8_aligned.cif,40.27215718103146,2.9415458028338124,2.9415458028338122e-5,0.00010632390523244452,2.5164376481704656,39.43165852533333
B9_aligned.cif,40.281216770219444,2.9475451111609496,2.9475451111609495e-5,5.831370599973275e-5,2.5154789755368467,19.71531695968333
C11_aligned.cif,40.19731541173445,1.4822890405471747,1.4822890405471747e-5,8.359999054988412e-5,2.561734211888465,44.559144420016665
C13_aligned.cif,40.16624516005267,1.5461218675569615,1.5461218675569616e-5,5.317735782212631e-5,2.555910403875093,67.71697030281668
C15_aligned.cif,40.261125080167396,1.9450427712484841,1.945042771248484e-5,4.27933525590779e-5,2.542309181014979,67.54352553211667
C18_aligned.cif,40.26675114578622,2.1011601451267,2.1011601451267e-5,5.270561765740657e-5,2.537540418738585,70.76187947596667
C1_aligned.cif,40.19826337951073,2.198089840338555,2.1980898403385553e-5,8.970116565463557e-5,2.529463637337408,18.67737913765
C20_aligned.cif,40.183093771563044,2.170845149300887,2.1708451493008873e-5,5.760145981996343e-5,2.519743383510654,23.312594278733332
