cage,KH_mol/(m³-bar),KH_mmol/(g-bar),KH_mmol/(kg-Pa),err_KH_mmol/(g-bar),Qst_kJ/mol
A11_aligned.cif,48.52328298667987,2.2472993075984666,2.2472993075984667e-5,0.0014282635650539467,3.825613952212634
B11_aligned.cif,49.513730238770215,2.077649469441371,2.077649469441371e-5,0.0010127775147784333,4.03358039290629
B13_aligned.cif,50.65010547536873,1.838425217523066,1.838425217523066e-5,0.0014118416287011322,4.494322354285304
B15_aligned.cif,47.59075652139569,2.245624286296761,2.2456242862967607e-5,0.0005230399657471372,3.657716731381222
B18_aligned.cif,47.56757471292571,2.1085540876747837,2.1085540876747838e-5,0.0009212090854068865,3.628249581919527
B1_aligned.cif,44.73475066433201,2.8512210625973573,2.8512210625973572e-5,0.0008196848551393689,3.245944336220579
B23_aligned.cif,53.77660620383229,2.0132371374260445,2.0132371374260445e-5,0.0013104309196971056,4.920334175350643
B24_aligned.cif,52.637110996126225,1.9464661961932013,1.946466196193201e-5,0.00135201895359586,4.60783640202496
B25_aligned.cif,47.32417291667842,2.030895332988484,2.030895332988484e-5,0.000539997963717093,3.5364663748945424
B26_aligned.cif,48.019013029939586,2.1582367615739213,2.1582367615739212e-5,0.00027822258665619086,3.685330242225858
B2_aligned.cif,44.61887655464966,2.370983097649194,2.3709830976491938e-5,0.0017328174853759404,3.241777952177956
B4_aligned.cif,43.75766448301049,3.844738871233169,3.844738871233169e-5,0.0007306653303828269,3.0791989055857334
B5_aligned.cif,44.10351321021003,3.6850618691590546,3.685061869159055e-5,0.0011324742666398685,3.1508704121016313
B6_aligned.cif,43.483044840465794,4.380016005153146,4.380016005153146e-5,0.0012265904856053201,3.0395792164587223
B8_aligned.cif,44.49795863197829,3.250205417608471,3.250205417608471e-5,0.0007405350454043624,3.2168795913144885
B9_aligned.cif,44.388513868366786,3.2480932189996445,3.2480932189996446e-5,0.0006263928508295205,3.197714863212681
C11_aligned.cif,51.08117653834536,1.8836349488886854,1.8836349488886853e-5,0.002049297384025844,4.303092045596312
C13_aligned.cif,51.46901633714581,1.9812001680368994,1.9812001680368995e-5,0.0017860026883885958,4.8275948267276405
C15_aligned.cif,47.95559781264917,2.3167680654890694,2.3167680654890693e-5,0.0008267641401692962,3.7709323178120533
C18_aligned.cif,46.586721399648944,2.4309426390687836,2.4309426390687837e-5,0.0008932383041230343,3.528667659009897
C1_aligned.cif,45.844599890193095,2.5068383751220153,2.5068383751220154e-5,0.0006657600087028883,3.458604340547004
C20_aligned.cif,44.163593217185905,2.3858870264258485,2.3858870264258485e-5,0.0008271479814361709,3.0973857239409512
C21_aligned.cif,44.326493099293046,2.3827757994781456,2.3827757994781455e-5,0.0007500089478360984,3.1319253601145913
C23_aligned.cif,53.917400191791124,2.0875580489704193,2.0875580489704193e-5,0.0007504886744520899,5.046032197162434
C24_aligned.cif,51.37185279070006,2.1834788739086908,2.183478873908691e-5,0.002561205293261829,4.502103788634418
C25_aligned.cif,46.50397931854404,2.311379110409646,2.311379110409646e-5,0.0005555037384199446,3.4610908492490986
C26_aligned.cif,47.70704053038497,2.323057149760081,2.3230571497600813e-5,0.0003810390281182283,3.693121178581311
C2_aligned.cif,45.51425956163051,2.2060403681685625,2.2060403681685626e-5,0.0005421885177995114,3.4228013353928426
C4_aligned.cif,44.33013062197968,3.5720515871853964,3.5720515871853966e-5,0.000834491000203521,3.201446369250897
C5_aligned.cif,44.89384646790895,3.3329946409109783,3.3329946409109785e-5,0.001150337987574978,3.313969104456613
C6_aligned.cif,44.0523381481343,4.020555304922297,4.020555304922297e-5,0.0012074429275897513,3.1616719233779937
C8_aligned.cif,45.32664645883241,2.9841196672046086,2.9841196672046085e-5,0.0008396030248319485,3.3867353864607104
C9_aligned.cif,45.14711877993901,2.9995958509948566,2.9995958509948567e-5,0.0007759040001252758,3.355762686630756
CB5_aligned.cif,83.49562485468206,3.5191411475312036,3.519141147531204e-5,0.1259627935930133,16.332826569658213
CB6_aligned.cif,92.1021127946949,3.6450610389626865,3.645061038962686e-5,0.046901571902136105,14.456872903954068
CB7_aligned.cif,56.45827208737842,2.162218190973681,2.162218190973681e-5,0.001807098016560044,6.456323538118899
CC10_aligned.cif,51.83278354243608,2.0559443710976426,2.0559443710976426e-5,0.0031375122220979722,5.2608298080029705
CC1_aligned.cif,51.13294141343599,2.741919673763736,2.741919673763736e-5,0.002571025267013589,5.293474525677633
CC2_aligned.cif,50.38402694459464,2.8980346621813418,2.898034662181342e-5,0.008168761750787092,5.1494659277135195
CC3_aligned.cif,49.65458420734009,3.007428939738991,3.007428939738991e-5,0.005812346764098898,4.911205285894875
CC4_aligned.cif,51.34439110680897,2.7798299240753535,2.7798299240753535e-5,0.0027886705629813963,5.063228910234682
CC5_aligned.cif,47.5721599631858,1.9966064148575606,1.9966064148575606e-5,0.0006035651328619795,3.668861063402028
CC9_aligned.cif,51.99322349625463,2.299585965763984,2.299585965763984e-5,0.004075059261614266,5.2792136550381255
CD1_aligned.cif,49.19854728998635,2.127984125217195,2.127984125217195e-5,0.0026753303099578125,4.938701132570751
CD2_aligned.cif,46.4583818460484,1.9576400215193925,1.9576400215193926e-5,0.00152459383811163,3.7210029332084305
CD3_aligned.cif,45.373772492847415,1.8369201135654252,1.836920113565425e-5,0.0006116872804973095,3.356743338918148
CP1_aligned.cif,256.19843712851554,12.421059600594214,0.00012421059600594214,0.41657018024802017,26.52085895233125
CP3_aligned.cif,86.8277650845897,4.974094105377852,4.9740941053778524e-5,0.21495593888423864,16.247371427194473
CP4_aligned.cif,45.48533477466735,2.3393726740593057,2.3393726740593056e-5,0.007968662733291549,3.7162883648752585
CP5_aligned.cif,62.29207082135995,2.4957712210420424,2.4957712210420426e-5,0.08468802595880695,10.955219412216696
DC1_aligned.cif,43.277515109834454,3.9443069365218504,3.9443069365218506e-5,0.0005660042277493424,2.9155787442794705
GC1_aligned.cif,47.63780741074892,1.9901069597268062,1.990106959726806e-5,0.00017900109641821592,3.5741693270418264
HC1_aligned.cif,52.01060769892066,2.459159761746479,2.4591597617464788e-5,0.013811342370103803,5.6977657418633205
IC1_aligned.cif,47.03483310140177,2.2502610162537215,2.2502610162537214e-5,0.0003036465903985771,3.5173318313488986
IC2_aligned.cif,49.7581500369216,2.4586164141745273,2.4586164141745272e-5,0.0006900941110451437,4.16071836544346
MC1_aligned.cif,47.36170291253036,2.141524811052545,2.1415248110525452e-5,0.0005628167982062951,3.549718917282979
MC2_aligned.cif,47.35717694887708,2.085395819668036,2.085395819668036e-5,0.0004856820659313159,3.5247685952244048
MC3_aligned.cif,46.42485502680121,2.4653193832927696,2.4653193832927694e-5,0.0007088572086827603,3.443001233496348
MC4_aligned.cif,46.085975739747845,2.4106698872398153,2.4106698872398154e-5,0.0004690539936128641,3.3497140051000986
MC5_aligned.cif,48.67334455153275,1.9687995148811908,1.9687995148811906e-5,0.0007372651695845945,3.7949972599665878
MC6_aligned.cif,49.598376566044564,1.7271908817541892,1.727190881754189e-5,0.00029327660106421725,3.8736841878587462
MC7_aligned.cif,44.857055377743016,3.5129862390255755,3.512986239025575e-5,0.0006261815141147462,3.28057338829061
NC1_aligned.cif,69.33726962699171,1.5628585120632474,1.5628585120632474e-5,0.020867234493909193,10.40347108982894
