atom,sigma(A),epsilon(K)
H,2.571133701,22.14166681
H_b,2.571133701,22.14166681
He,2.1043,28.18319
Li,2.183592758,12.58049251
Be,2.445516981,42.77367429
B,3.637539466,90.57954555
C,3.430850964,52.83806853
N,3.260689308,34.72215932
O,3.118145513,30.19318202
F,2.996983288,25.16098501
Na,2.657550876,15.09659101
Mg,2.691405028,55.85738673
Al,4.008153333,254.1259486
Si,3.826409994,202.2943195
P,3.694556984,153.4820086
S,3.594776328,137.8821979
Cl,3.51637724,114.230872
Ar,3.445996242,93.09564455
K,3.396105914,17.61268951
Ca,3.028164743,119.7662887
Sc,2.935511276,9.561174305
Ti,2.82860343,8.554734905
V,2.80098557,8.051515205
Cr,2.693186825,7.548295504
Mn,2.637951104,6.541856104
Fe,2.594297067,6.541856104
Co,2.558661118,7.045075804
Ni,2.524806967,7.548295504
Cu,3.11369102,2.516098501
Zn,2.461553158,62.39924284
Ga,3.904809082,208.8361756
Ge,3.813046514,190.7202664
As,3.768501578,155.4948874
Se,3.74622911,146.4369328
Br,3.73197473,126.3081448
Kr,3.689211592,110.7083341
Rb,3.665157326,20.12878801
Sr,3.243762233,118.2566296
Y,2.980056212,36.23181842
Zr,2.783167595,34.72215932
Nb,2.819694443,29.68996232
Mo,2.719022888,28.18030322
Tc,2.670914357,24.15454561
Ru,2.639732902,28.18030322
Rh,2.609442345,26.67064412
Pd,2.582715384,24.15454561
Ag,2.804549165,18.11590921
Cd,2.537279549,114.7340917
In,3.976080979,301.4286005
Sn,3.91282717,285.3255701
Sb,3.937772334,225.9456454
Te,3.98231727,200.2814407
I,4.009044232,170.5914784
Xe,3.923517955,167.0689405
Cs,4.02418951,22.64488651
Ba,3.298997953,183.1719709
La,3.137745285,8.554734905
Ce,3.168035842,6.541856104
Pr,3.212580778,5.032197003
Nd,3.184962917,5.032197003
Pm,3.160017753,4.528977303
Sm,3.135963488,4.025757602
Eu,3.111909222,4.025757602
Gd,3.000546883,4.528977303
Tb,3.074491476,3.522537902
Dy,3.054000806,3.522537902
Ho,3.03707373,3.522537902
Er,3.021037553,3.522537902
Tm,3.005892275,3.019318202
Yb,2.988965199,114.7340917
Lu,3.242871334,20.63200771
Hf,2.798312874,36.23181842
Ta,2.824148937,40.76079572
W,2.734168166,33.71571992
Re,2.631714813,33.21250022
Os,2.779604001,18.61912891
Ir,2.53015236,36.73503812
Pt,2.45353507,40.25757602
Au,2.933729479,19.62556831
Hg,2.409881033,193.7395846
Tl,3.872736728,342.1893962
Pb,3.828191792,333.6346613
Bi,3.893227398,260.6678047
Po,4.195242064,163.5464026
At,4.231768911,142.9143949
Rn,4.17,300
Fr,4.365403719,25.16098501
Ra,3.275834587,203.3007589
Ac,3.098545742,16.60625011
Th,3.025492047,13.08371221
Pa,3.050437211,11.07083341
U,3.024601148,11.07083341
Np,3.050437211,9.561174305
Pu,3.050437211,8.051515205
Am,3.012128566,7.045075804
Cm,2.963129137,6.541856104
Bk,2.97471082,6.541856104
Cf,2.951547453,6.541856104
Es,2.939074871,6.038636403
Fm,2.927493188,6.038636403
Md,2.916802403,5.535416703
No,2.893639037,5.535416703
Lw,2.882948252,5.535416703
