cage,molecule_diameter_A,pore_diameter_A,nb_windows
A11,20.231662,10.775757,4
B11,20.908240,6.236137,4
B13,24.710859,3.411158,4
B15,25.352257,9.821863,4
B18,28.057421,11.415718,4
B1,15.162314,2.062071,3
B23,22.291666,9.486308,6
B24,25.045377,8.621005,6
B25,29.485939,11.513237,6
B26,32.689931,12.512314,6
B2,17.336101,1.952630,3
B4,24.988823,2.014124,3
B5,21.904771,1.927647,3
B6,26.319173,1.960739,3
B8,21.386900,2.013414,3
B9,21.368535,1.911249,3
C11,23.179192,6.183828,4
C13,25.032117,3.457982,4
C15,27.729824,9.719850,4
C18,30.342510,11.066652,4
C1,17.245302,1.929137,3
C20,19.811342,1.744271,3
C21,19.814894,1.575583,3
C23,24.310823,9.201675,6
C24,26.975116,8.481673,6
C25,31.118776,10.647822,6
C26,34.300279,11.282616,6
C2,17.304366,1.840930,3
C4,25.045356,1.861082,3
C5,21.861102,1.835747,3
C6,26.123883,1.826278,3
C8,21.231887,1.855816,3
C9,21.248821,1.819927,3
CB5,12.841472,3.948251,2
CB6,14.779624,4.837478,2
CB7,15.981195,6.255776,2
CC10,26.686836,5.423630,4
CC1,17.644071,5.521808,4
CC2,20.125695,5.404163,4
CC3,22.643763,5.473688,4
CC4,21.572486,6.090591,4
CC5,28.260199,8.425471,4
CC9,25.414552,5.427812,4
CD1,15.991172,3.834797,2
CD2,17.956512,5.765451,2
CD3,19.058336,7.317280,2
CP1,15.816172,4.640641,6
CP3,13.298092,4.381628,3
CP4,14.848115,3.395368,5
CP5,14.193605,3.693232,4
DC1,34.365850,9.632521,3
GC1,34.323003,12.703541,6
HC1,19.082412,4.523415,3
IC1,34.385166,14.464176,4
IC2,18.853297,7.660323,3
MC1,31.683494,10.273795,4
MC2,29.511908,10.357413,4
MC3,21.511057,5.225019,3
MC4,22.217075,7.002806,3
MC5,31.052147,7.953268,4
MC6,42.816330,21.918419,6
MC7,25.345560,7.431445,3
NC1,29.628981,4.785225,4
NC2,20.512028,4.662939,4
RCC1a,28.306113,4.093360,4
RCC1b,29.761548,4.232900,4
RCC1c,25.807515,4.058912,4
RCC1d,22.238599,4.527051,4
RCC3a,22.624281,3.444282,4
RCC3b,22.492659,5.709729,4
WC1,32.945852,10.379221,4
WC2,29.370102,4.112060,9
WC3,28.818034,4.632241,6
WC4,16.042941,5.300739,6
